mineral_name,chemical_index_id,group_id,subgroup_id,mineral_id
Donathite,0,0,,
Copper,1.1,1,,1
Danbaite,1.1,1,,10
Zhanghengite,1.11,1,,11
Mercury,1.12,1,,12
Kolymite,1.13,1,,13
Moschellandsbergite,1.14,1,,14
Eugenite,1.15,1,,15
Schachnerite,1.16,1,,16
Paraschachnerite,1.17,1,,17
Luanheite,1.18,1,,18
Weishanite,1.19,1,,19
Silver,1.2,1,,2
Indium,1.2,1,,20
Aluminium,1.21,1,,21
Khatyrkite,1.22,1,,22
Cupalite,1.23,1,,23
Diamond,1.24,1,,24
Graphite,1.25,1,,25
Chaoite,1.26,1,,26
Lonsdaleite,1.27,1,,27
Silicon,1.28,1,,28
Tin,1.29,1,,29
Lead,1.3,1,,30
Anyuiite,1.31,1,,31
Novodneprite,1.31,1,,31
Leadamalgam,1.32,1,,32
Arsenic,1.33,1,,33
Arsenolamprite,1.34,1,,34
Paxite,1.35,1,,35
Koutekite,1.36,1,,36
Domeykite,1.37,1,,37
Algodonite,1.38,1,,38
NovÃ¡kite,1.39,1,,39
Kutinaite,1.4,1,,40
Antimony,1.41,1,,41
Stibarsen,1.42,1,,42
Paradocrasite,1.43,1,,43
Horsfordite,1.44,1,,44
Cuprostibite,1.45,1,,45
Allargentum,1.46,1,,46
Aurostibite,1.47,1,,47
Dyscrasite,1.48,1,,48
Bismuth,1.49,1,,49
Gold,1.5,1,,5
Maldonite,1.5,1,,50
Sulphur,1.51,1,,51
RosickÃ½ite,1.52,1,,52
Selenium,1.53,1,,53
Tellurium,1.54,1,,54
Chromium,1.55,1,,55
Rhenium,1.56,1,,56
Iron,1.57,1,,57
Chromferide,1.58,1,,58
Ferchromide,1.59,1,,59
Auricupride,1.6,1,,6
Wairauite,1.6,1,,60
Nickel,1.61,1,,61
Kamacite,1.62,1,,62
Taenite,1.63,1,,63
Tetrataenite,1.64,1,,64
Awaruite,1.65,1,,65
Palladium,1.66,1,,66
Potarite,1.67,1,,67
Paolovite,1.68,1,,68
Stannopalladinite,1.69,1,,69
Tetra-auricupride,1.7,1,,7
Cabriite,1.7,1,,70
Taimyrite,1.71,1,,71
Atokite,1.72,1,,72
Rustenburgite,1.73,1,,73
Zvyagintsevite,1.74,1,,74
Plumbopalladinite,1.75,1,,75
Osmium,1.76,1,,76
Iridium,1.77,1,,77
Zinc,1.8,1,,8
Platinum,1.82,1,,82
Hongshiite,1.83,1,,83
Niggliite,1.84,1,,84
Isoferroplatinum,1.85,1,,85
Tetraferroplatinum,1.86,1,,86
Tulameenite,1.87,1,,87
Ferronickelplatinum,1.88,1,,88
Rhodium,1.89,1,,89
Cadmium,1.9,1,,9
Teepleite,10.1.1,10,1,1
Solongoite,10.1.11,10,1,11
Hydrochlorborite,10.1.12,10,1,12
Ekaterinite,10.1.13,10,1,13
Volkovskite,10.1.14,10,1,14
Chelkarite,10.1.15,10,1,15
Johachidolite,10.1.16,10,1,16
Satimolite,10.1.17,10,1,17
Chambersite,10.1.18,10,1,18
Congolite,10.1.19,10,1,19
Bandylite,10.1.2,10,1,2
Ericaite,10.1.20,10,1,20
Berborite,10.1.3,10,1,3
Fluoborite,10.1.4,10,1,4
Boracite,10.1.5,10,1,5
Karlite,10.1.6,10,1,6
Shabynite,10.1.7,10,1,7
Hilgardite,10.1.8/9/10,10,1,8/9/2010
LÃ¼neburgite,10.2.1,10,2,1
Cahnite,10.2.2,10,2,2
Teruggite,10.2.3,10,2,3
Seamanite,10.2.4,10,2,4
Sulfoborite,10.3.1,10,3,1
Heidornite,10.3.2,10,3,2
Charlesite,10.3.3,10,3,3
Canavesite,10.4.1,10,4,1
Carboborite,10.4.2,10,4,2
Borcarite,10.4.3,10,4,3
Sakhaite,10.4.4,10,4,4
Moydite-(Y),10.4.5,10,4,5
Gaudefroyite,10.4.6,10,4,6
Zabuyelite,11.1.1,11,1,1
Nyerereite,11.1.10,11,1,10
Natrofairchildite,11.1.11,11,1,11
Zemkorite,11.1.12,11,1,12
Pirssonite,11.1.13,11,1,13
Gaylussite,11.1.14,11,1,14
Baylissite,11.1.15,11,1,15
Fairchildite,11.1.16,11,1,16
BÃ¼tschliite,11.1.17,11,1,17
Teschemacherite,11.1.18,11,1,18
Natrite,11.1.2,11,1,2
Nahcolite,11.1.3,11,1,3
Wegscheiderite,11.1.4,11,1,4
Thermonatrite,11.1.5,11,1,5
Trona,11.1.6,11,1,6
Natron,11.1.7,11,1,7
Kalicinite,11.1.8,11,1,8
Shortite,11.1.9,11,1,9
Bismutite,11.10.1,11,10,1
Beyerite,11.10.2,11,10,2
Stichtite,11.11.1,11,11,1
Sharpite,11.11.10,11,11,10
Voglite,11.11.11,11,11,11
Andersonite,11.11.12,11,11,12
Swartzite,11.11.13,11,11,13
Rabbittite,11.11.14,11,11,14
Kamotoite-(Y),11.11.15,11,11,15
Shabaite-(Nd),11.11.16,11,11,16
Astrocyanite-(Ce),11.11.17,11,11,17
Bijvoetite-(Y),11.11.18,11,11,18
Widenmannite,11.11.19,11,11,19
Rutherfordine,11.11.2,11,11,2
Znucalite,11.11.20,11,11,20
Joliotite,11.11.3,11,11,3
Grimselite,11.11.4,11,11,4
Bayleyite,11.11.5,11,11,5
Metazellerite,11.11.6,11,11,6
Zellerite,11.11.7,11,11,7
Wyartite,11.11.8,11,11,8
Urancalcarite,11.11.9,11,11,9
Rhodochrosite,11.12.1,11,12,1
Holdawayite,11.12.2,11,12,2
Desautelsite,11.12.3,11,12,3
Kutnohorite,11.12.4,11,12,4
Siderite,11.13.1,11,13,1
Pyroaurite,11.13.2,11,13,2
Pyroaurite-2H,11.13.3,11,13,3
Brugnatellite,11.13.4,11,13,4
Coalingite,11.13.5,11,13,5
Ankerite,11.13.6,11,13,6
Spherocobaltite,11.14.1,11,14,1
Reevesite,11.14.10,11,14,10
Comblainite,11.14.11,11,14,11
SzymaÅ„skiite,11.14.12,11,14,12
Kolwezite,11.14.2,11,14,2
Nullaginite,11.14.3,11,14,3
Hellyerite,11.14.4,11,14,4
Otwayite,11.14.5,11,14,5
Zaratite,11.14.6,11,14,6
Kambaldaite,11.14.7,11,14,7
Glaukosphaerite,11.14.8,11,14,8
GaspÃ©ite,11.14.9,11,14,9
Malachite,11.2.1,11,2,1
Azurite,11.2.2,11,2,2
Chalconatronite,11.2.4,11,2,4
Callaghanite,11.2.5,11,2,5
Magnesite,11.3.1,11,3,1
Eitelite,11.3.10,11,3,10
Mcguinnessite,11.3.11,11,3,11
Barringtonite,11.3.2,11,3,2
Nesquehonite,11.3.3,11,3,3
Lansfordite,11.3.4,11,3,4
Pokrovskite,11.3.5,11,3,5
Artinite,11.3.6,11,3,6
Hydromagnesite,11.3.7,11,3,7
Giorgiosite,11.3.8,11,3,8
Dypingite,11.3.9,11,3,9
Calcite,11.4.1,11,4,1
Aragonite,11.4.2,11,4,2
Vaterite,11.4.3,11,4,3
Monohydrocalcite,11.4.4,11,4,4
Ikaite,11.4.5,11,4,5
Dolomite,11.4.6,11,4,6
Huntite,11.4.7,11,4,7
Sergeevite,11.4.8,11,4,8
Strontianite,11.5.1,11,5,1
Witherite,11.5.2,11,5,2
Norsethite,11.5.3,11,5,3
Alstonite,11.5.4,11,5,4
Paralstonite,11.5.5,11,5,5
