chemical_index_id,subgroup_name,group_id
3,Sulphides etc. of the alkalis,3
3.1,Sulphides etc. of Cu,3
3.2,Sulphides etc. of Ag,3
3.3,Sulphides etc. of Au,3
3.4,"Sulphides etc. of Group II metals other than Hg (Mg, Ca, Zn, Cd)",3
3.5,Sulphides etc. of Hg and Tl,3
3.6,Sulphides etc. of Sb and Pb,3
3.7,"Sulphides etc. of V, As, Sb and Bi",3
3.8,"Sulphides etc. of Cr, Mo, W an Mn",3
3.9,Sulphides etc. of Fe,3
3.1,Sulphides etc. of Co,3
3.11,Sulphides etc. of Ni,3
3.12,Sulphides etc. of the platinum metals,3
5,Sulpharsenites etc. of the alkali metals,5
5.1,Sulpharsenites etc. of Cu,5
5.2,Sulpharsenites etc. of Ag,5
5.3,Sulpharsenites etc. of Au,5
5.4,Sulpharsenites etc. of Zn and Hg,5
5.5,Sulpharsenites etc. of Tl,5
5.6,Sulpharsenites etc. of Pb alone,5
5.7,Sulpharsenites etc. of Pb and other metals,5
5.8,"Sulpharsenites etc. of Mn, Fe, Co and Ni",5
6.1,Sulphostannates and other sulfides containing Sn,6
6.2,Sulphogermanates,6
6.3,Sulpharsenates and sulphantimonates,6
6.4,Sulphovanadates,6
6.5,Sulphohalides,6
7.1,Oxides of hydrogen,7
7.2,Oxides of the alkali metals,7
7.3,Oxides of Cu,7
7.4,"Oxides of Be, Mg and the alkaline earths",7
7.5,"Oxides of Zn, Cd and Hg",7
7.6,Oxides of Al,7
7.7,Oxides of Group III metals other than Al,7
7.8,Oxides of Si,7
7.9,Oxides of Ti,7
7.1,Oxides of Zr and Th,7
7.11,Oxides of Sn and Pb,7
7.12,"Oxides of V, Nb and Ta",7
7.13,"Oxides of As, Sb and Bi",7
7.14,Oxides of Cr,7
7.15,Oxides of Mo and W,7
7.16,Oxides of U,7
7.17,Oxides of Se and Te,7
7.18,Oxides of Mn,7
7.19,Oxides of Mn and Fe,7
7.2,Oxides of Fe,7
7.21,Oxides of Co,7
7.22,Oxides of Ni,7
8.1,Halides of the alkali metals and ammonium,8
8.2,Halides of Cu,8
8.3,Halides of Ag,8
8.4,Halides of the alkaline earths and Mg,8
8.5,Halides of Zn and Hg,8
8.6,Halides of Al,8
8.7,Halides of the rare earth metals,8
8.8,Halides of Pb,8
8.9,Halides of Sb and Bi,8
8.1,Halides of Mn,8
8.11,Halides of Fe and Ni,8
8.12,Fluorborates (BF'<sub>4</sub>) and fluosilicates (SiF''<sub>6</sub>),8
9.1,Borates of the alkalis and boric acid,9
9.2,Borates of Be and Mg,9
9.3,Borates of Ca and Sr,9
9.4,Borates of Ca and Mn,9
9.5,Borates of Al and rare earths,9
9.6,"Borates of Ti, Sn and Ta",9
9.7,Borates of Mn,9
9.8,Borates of Fe,9
9.9,Borates of Ni,9
10.1,Borates with halide,10
10.2,Borates with phosphate or arsenate,10
10.3,Borates with sulphate,10
10.4,Borates with carbonate,10
